	T0.A.AdjInfB19	T0.A.AdjInfB20	T0.A.AdjInfB21	T0.A.AdjInfB22	T0.A.AdjInfB23	T0.A.AdjInfB24	T0.A.AdjMockB10	T0.A.AdjMockB11	T0.A.AdjMockB12	T0.A.AdjMockB7	T0.A.AdjMockB8	T0.A.AdjMockB9	T0.A.InfAreaB13	T0.A.InfAreaB14	T0.A.InfAreaB15	T0.A.InfAreaB16	T0.A.InfAreaB17	T0.A.InfAreaB18	T0.A.InfRootB55	T0.A.InfRootB56	T0.A.InfRootB57	T0.A.InfRootB58	T0.A.InfRootB59	T0.A.InfRootB60	T0.A.MockAreaB1	T0.A.MockAreaB2	T0.A.MockAreaB3	T0.A.MockAreaB4	T0.A.MockAreaB5	T0.A.MockAreaB6	T0.A.MockRootB49	T0.A.MockRootB50	T0.A.MockRootB51	T0.A.MockRootB52	T0.A.MockRootB53	T0.A.MockRootB54	T0.B.AdjInfB43	T0.B.AdjInfB44	T0.B.AdjInfB45	T0.B.AdjInfB46	T0.B.AdjInfB47	T0.B.AdjInfB48	T0.B.AdjMockB31	T0.B.AdjMockB32	T0.B.AdjMockB33	T0.B.AdjMockB34	T0.B.AdjMockB35	T0.B.AdjMockB36	T0.B.InfAreAB37	T0.B.InfAreAB38	T0.B.InfAreAB39	T0.B.InfAreAB40	T0.B.InfAreAB41	T0.B.InfAreAB42	T0.B.InfRootB67	T0.B.InfRootB68	T0.B.InfRootB69	T0.B.InfRootB70	T0.B.InfRootB71	T0.B.InfRootB72	T0.B.MockAreaB25	T0.B.MockAreaB26	T0.B.MockAreaB27	T0.B.MockAreaB28	T0.B.MockAreaB29	T0.B.MockAreaB30	T0.B.MockRootB61	T0.B.MockRootB62	T0.B.MockRootB63	T0.B.MockRootB64	T0.B.MockRootB65	T0.B.MockRootB66	T4.A.AdjInfB91	T4.A.AdjInfB92	T4.A.AdjInfB93	T4.A.AdjInfB94	T4.A.AdjInfB95	T4.A.AdjInfB96	T4.A.AdjMockB79	T4.A.AdjMockB80	T4.A.AdjMockB81	T4.A.AdjMockB82	T4.A.AdjMockB83	T4.A.AdjMockB84	T4.A.InfAreaB85	T4.A.InfAreaB86	T4.A.InfAreaB87	T4.A.InfAreaB88	T4.A.InfAreaB89	T4.A.InfAreaB90	T4.A.MockAreaB73	T4.A.MockAreaB74	T4.A.MockAreaB75	T4.A.MockAreaB76	T4.A.MockAreaB77	T4.A.MockAreaB78	peat.1.1B109	peat.1.1B97	peat.1.2B110	peat.1.2B98	peat.1.3B111	peat.1.3B99	peat.1.4B100	peat.1.4B112	peat.1.5B101	peat.1.5B113	peat.1.6B102	peat.1.6B114	peat.2.1B103	peat.2.1B115	peat.2.2B104	peat.2.2B116	peat.2.3B105	peat.2.3B117	peat.2.4B106	peat.2.4B118	peat.2.5B107	peat.2.5B119	peat.2.6B108	peat.2.6B120	T4.B.AdjInfB19	T4.B.AdjInfB20	T4.B.AdjInfB21	T4.B.AdjInfB22	T4.B.AdjInfB23	T4.B.AdjInfB24	T4.B.AdjMockB10	T4.B.AdjMockB11	T4.B.AdjMockB12	T4.B.AdjMockB7	T4.B.AdjMockB8	T4.B.AdjMockB9	T4.B.InfAreAB13	T4.B.InfAreAB14	T4.B.InfAreAB15	T4.B.InfAreAB16	T4.B.InfAreAB17	T4.B.InfAreAB18	T4.B.MockAreaB1	T4.B.MockAreaB2	T4.B.MockAreaB3	T4.B.MockAreaB4	T4.B.MockAreaB5	T4.B.MockAreaB6	T8.A.AdjInfB43	T8.A.AdjInfB44	T8.A.AdjInfB45	T8.A.AdjInfB46	T8.A.AdjInfB47	T8.A.AdjInfB48	T8.A.AdjMockB31	T8.A.AdjMockB32	T8.A.AdjMockB33	T8.A.AdjMockB34	T8.A.AdjMockB35	T8.A.AdjMockB36	T8.A.InfAreaB37	T8.A.InfAreaB38	T8.A.InfAreaB39	T8.A.InfAreaB40	T8.A.InfAreaB41	T8.A.InfAreaB42	T8.A.InfRootB79	T8.A.InfRootB80	T8.A.InfRootB81	T8.A.InfRootB82	T8.A.InfRootB83	T8.A.InfRootB84	T8.A.MockAreaB25	T8.A.MockAreaB26	T8.A.MockAreaB27	T8.A.MockAreaB28	T8.A.MockAreaB29	T8.A.MockAreaB30	T8.A.MockRootB73	T8.A.MockRootB74	T8.A.MockRootB75	T8.A.MockRootB76	T8.A.MockRootB77	T8.A.MockRootB78	T8.B.AdjInfB67	T8.B.AdjInfB68	T8.B.AdjInfB69	T8.B.AdjInfB70	T8.B.AdjInfB71	T8.B.AdjInfB72	T8.B.AdjMockB55	T8.B.AdjMockB56	T8.B.AdjMockB57	T8.B.AdjMockB58	T8.B.AdjMockB59	T8.B.AdjMockB60	T8.B.InfAreAB61	T8.B.InfAreAB62	T8.B.InfAreAB63	T8.B.InfAreAB64	T8.B.InfAreAB65	T8.B.InfAreAB66	T8.B.InfRootB91	T8.B.InfRootB92	T8.B.InfRootB93	T8.B.InfRootB94	T8.B.InfRootB95	T8.B.InfRootB96	T8.B.MockAreaB49	T8.B.MockAreaB50	T8.B.MockAreaB51	T8.B.MockAreaB52	T8.B.MockAreaB53	T8.B.MockAreaB54	T8.B.MockRootB85	T8.B.MockRootB86	T8.B.MockRootB87	T8.B.MockRootB88	T8.B.MockRootB89	T8.B.MockRootB90
000b47706c39e94e499ab9fe0cc8c91b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
00161b93c71caeccf1cc2663dafab730	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
001f8fe6903149c7325dd7880dcfbd9a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0038cfd5b102d324998be74c405bf980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
0038fff0d868f9865c44777aff9faa58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
0047939446ad44fcf81a2fa006847d86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0048f0feac566d785193413eaa6f88dc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
004ac0cb47e771b732ec5b374173a250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	18	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
004af1175d5393e83fcba9d677d1c6c0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0
0061962b006ac6c38a0549f0c2d5be32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
