	Treatment	Tissue	Time	Cultivar	Area	Pos	Concat	Concat1	Concat2	Description
T0.A.MockAreaB1	mock	leaf	t0dpi	ChSp	mockArea	local	MoT0LChSp	t0dpiChSp	ChSpmock	mr1B1
T0.A.MockAreaB2	mock	leaf	t0dpi	ChSp	mockArea	local	MoT0LChSp	t0dpiChSp	ChSpmock	mr1B2
T0.A.MockAreaB3	mock	leaf	t0dpi	ChSp	mockArea	local	MoT0LChSp	t0dpiChSp	ChSpmock	mr1B3
T0.A.MockAreaB4	mock	leaf	t0dpi	ChSp	mockArea	local	MoT0LChSp	t0dpiChSp	ChSpmock	mr1B4
T0.A.MockAreaB5	mock	leaf	t0dpi	ChSp	mockArea	local	MoT0LChSp	t0dpiChSp	ChSpmock	mr1B5
T0.A.MockAreaB6	mock	leaf	t0dpi	ChSp	mockArea	local	MoT0LChSp	t0dpiChSp	ChSpmock	mr1B6
T0.A.AdjMockB7	mock	leaf	t0dpi	ChSp	AdjMock	adjacent	MoT0LChSpAdj	t0dpiChSp	ChSpmock	mr1B7
T0.A.AdjMockB8	mock	leaf	t0dpi	ChSp	AdjMock	adjacent	MoT0LChSpAdj	t0dpiChSp	ChSpmock	mr1B8
T0.A.AdjMockB9	mock	leaf	t0dpi	ChSp	AdjMock	adjacent	MoT0LChSpAdj	t0dpiChSp	ChSpmock	mr1B9
T0.A.AdjMockB10	mock	leaf	t0dpi	ChSp	AdjMock	adjacent	MoT0LChSpAdj	t0dpiChSp	ChSpmock	mr1B10
T0.A.AdjMockB11	mock	leaf	t0dpi	ChSp	AdjMock	adjacent	MoT0LChSpAdj	t0dpiChSp	ChSpmock	mr1B11
T0.A.AdjMockB12	mock	leaf	t0dpi	ChSp	AdjMock	adjacent	MoT0LChSpAdj	t0dpiChSp	ChSpmock	mr1B12
T0.A.InfAreaB13	zt	leaf	t0dpi	ChSp	InfArea	local	ZtT0LChSp	t0dpiChSp	ChSpzt	mr1B13
T0.A.InfAreaB14	zt	leaf	t0dpi	ChSp	InfArea	local	ZtT0LChSp	t0dpiChSp	ChSpzt	mr1B14
T0.A.InfAreaB15	zt	leaf	t0dpi	ChSp	InfArea	local	ZtT0LChSp	t0dpiChSp	ChSpzt	mr1B15
T0.A.InfAreaB16	zt	leaf	t0dpi	ChSp	InfArea	local	ZtT0LChSp	t0dpiChSp	ChSpzt	mr1B16
T0.A.InfAreaB17	zt	leaf	t0dpi	ChSp	InfArea	local	ZtT0LChSp	t0dpiChSp	ChSpzt	mr1B17
T0.A.InfAreaB18	zt	leaf	t0dpi	ChSp	InfArea	local	ZtT0LChSp	t0dpiChSp	ChSpzt	mr1B18
T0.A.AdjInfB19	zt	leaf	t0dpi	ChSp	adjInf	adjacent	ZtT0LChSpAdj	t0dpiChSp	ChSpzt	mr1B19
T0.A.AdjInfB20	zt	leaf	t0dpi	ChSp	adjInf	adjacent	ZtT0LChSpAdj	t0dpiChSp	ChSpzt	mr1B20
T0.A.AdjInfB21	zt	leaf	t0dpi	ChSp	adjInf	adjacent	ZtT0LChSpAdj	t0dpiChSp	ChSpzt	mr1B21
T0.A.AdjInfB22	zt	leaf	t0dpi	ChSp	adjInf	adjacent	ZtT0LChSpAdj	t0dpiChSp	ChSpzt	mr1B22
T0.A.AdjInfB23	zt	leaf	t0dpi	ChSp	adjInf	adjacent	ZtT0LChSpAdj	t0dpiChSp	ChSpzt	mr1B23
T0.A.AdjInfB24	zt	leaf	t0dpi	ChSp	adjInf	adjacent	ZtT0LChSpAdj	t0dpiChSp	ChSpzt	mr1B24
T0.B.MockAreaB25	mock	leaf	t0dpi	Obx	mockArea	local	MoT0LObx	t0dpiObx	Obxmock	mr1B25
T0.B.MockAreaB26	mock	leaf	t0dpi	Obx	mockArea	local	MoT0LObx	t0dpiObx	Obxmock	mr1B26
T0.B.MockAreaB27	mock	leaf	t0dpi	Obx	mockArea	local	MoT0LObx	t0dpiObx	Obxmock	mr1B27
T0.B.MockAreaB28	mock	leaf	t0dpi	Obx	mockArea	local	MoT0LObx	t0dpiObx	Obxmock	mr1B28
T0.B.MockAreaB29	mock	leaf	t0dpi	Obx	mockArea	local	MoT0LObx	t0dpiObx	Obxmock	mr1B29
T0.B.MockAreaB30	mock	leaf	t0dpi	Obx	mockArea	local	MoT0LObx	t0dpiObx	Obxmock	mr1B30
