	Kingdom	Phylum	Class	Order	Family	Genus	Species	Score
4230ced378a9bacf4f94281dd33b91b6	Archaea	Crenarchaeota	Thaumarchaeota	Nitrososphaerales	Nitrososphaeraceae	Candidatus	Nitrososphaera	0.8925986216
5970b5867f622beb12294d3e9c52c410	Bacteria	[Thermi]	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	geothermalis	0.9999975879
c5710b3ca20520f07444f2303689ba3f	Bacteria	[Thermi]	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	ND	0.7195009995
31942f62e63c4b1294931c5036b71aed	Bacteria	[Thermi]	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	ND	0.7826714736
d8158ebc2d88711b7284065494a561ad	Bacteria	[Thermi]	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	ND	0.8017006953
6b58c2f533cc71b02fb5ba4a3f9aff99	Bacteria	[Thermi]	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	ND	0.8176025452
28adab0fd84c429057d06a662f8e26f6	Bacteria	[Thermi]	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	ND	0.8824296382
5d1a707d6997723e2b8323b258ebc42d	Bacteria	[Thermi]	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	ND	0.8928859534
7b38509051492cda949766b944186121	Bacteria	[Thermi]	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	ND	0.9454563601
359c02fed19c52261c1b4ff6bb5e0658	Bacteria	[Thermi]	Deinococci	Deinococcales	Deinococcaceae	ND	ND	0.7372996718
f2120eccbfbed4a7a21d0722c9d85222	Bacteria	[Thermi]	Deinococci	Deinococcales	Trueperaceae	B-42	ND	0.9743334854
225cf41948474eac4074662f39321788	Bacteria	[Thermi]	Deinococci	Deinococcales	Trueperaceae	Truepera	ND	0.9408705142
399a7dec1ae1c163e8e82f3888e51442	Bacteria	[Thermi]	Deinococci	Deinococcales	Trueperaceae	Truepera	ND	0.9990615037
455edf57e0792774533ba1cc22239ace	Bacteria	[Thermi]	Deinococci	Deinococcales	Trueperaceae	Truepera	ND	0.9998247683
8f3f97ffbf34529bb635acdb74da32eb	Bacteria	Acidobacteria	[Chloracidobacteria]	RB41	Ellin6075	ND	ND	0.9970023367
704d38b8613f62a1cf90f0b8dbd43eda	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	ND	0.8080893574
cdf229ad3233da0334597afcd6b21959	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	modestum	0.7006694523
a4bdef27bd250d5ccb715d45f4da16ce	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	modestum	0.7230035251
88342c22bbd5c8ea051601fdced2de0a	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	modestum	0.7310430156
61171eb0c5c4b803b390e66aa6e14bec	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	ND	0.7099790533
9062a410145c38d7dfc85f1cd7a52460	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	ND	0.7251163486
dc34da4360b0a59985366412eefbcf1d	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	ND	0.7271951398
cd495bb505cc5d667e4d4325dd461a7e	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	ND	0.7312479343
